"347447406","31433114","ОТОВП","Отдел технического обеспечения воспитательного процесса","1 уровень","3"
"347447505","31433114","ЦК","Центр культуры","1 уровень","3"
"350265421","177579741","Дневной стационар","Дневной стационар","2 уровень","4"
"352635381","31429660","ИФКиС","Институт физической культуры и спорта","1 уровень","3"
"352660549","544554","ЛФ","Лечебный факультет","2 уровень","4"
"352682235","544554","ФС","Факультет стоматологии","2 уровень","4"
"352685331","352682235","ЧЛХ","Кафедра ""Челюстно-лицевая хирургия""","3 уровень","5"
"352685446","31429660","ПИ","Политехнический институт","1 уровень","3"
"352690757","352685446","ФПИТиЭ","Факультет приборостроения, информационных технологий и электроники","2 уровень","4"
"352729008","118012647","ФФМиЕН","Факультет физико-математических и естественных наук","2 уровень","4"
"352739361","352729008","ОБиБ","Кафедра ""Общая биология и биохимия""","3 уровень","5"
"352745240","123594889","ИЯиМПИЯ","Кафедра ""Иностранные языки и методика преподавания иностранных языков""","3 уровень","5"
"352755089","352690757","ИИТиМ","Кафедра ""Информационно-измерительная техника и метрология""","3 уровень","5"
"352755178","352690757","ЭиЭ","Кафедра ""Электроэнергетика и электротехника""","3 уровень","5"
"352755786","545082","ТПМГ","Кафедра ""Теоретическая и прикладная механика и графика""","3 уровень","5"
"352758022","31429660","ИНО","Институт непрерывного образования","1 уровень","3"
"355580716","78859500","Служба ПБ","Служба пожарной безопасности","2 уровень","3"
"355953801","1538274","УМО","Управление международного образования","2 уровень","4"
"355953962","1538274","УМС","Управление международных связей","2 уровень","4"
"357456162","352758022","ЦОПиДП","Центр организации приема и довузовской подготовки","2 уровень","4"
"359653106","79158702","РНЖ","Редакция научных журналов","1 уровень","3"
"359655104","544554","ЦДМО","Центр дополнительного медицинского образования","2 уровень","4"
"359673318","357456162","ОДовП","Отдел  довузовской подготовки","3 уровень","5"
"359757342","544860","ЭТиМО","Кафедра ""Экономическая теория и международные отношения""","2 уровень","4"
"359919263","362749473","Экспл-хозяйст уп","Эксплуатационно-хозяйственное управление","1 уровень","3"
